Date,Open,High,Low,Close,Adj Close,Volume
2017-11-20,122.919998,122.919998,122.279999,122.510002,112.435150,78700
2017-11-21,122.730003,123.110001,122.540001,122.820000,112.719658,48700
2017-11-22,122.930000,123.010002,122.389999,122.739998,112.646225,153500
2017-11-24,122.989998,123.349998,122.790001,122.910004,112.802254,65000
2017-11-27,123.010002,123.680000,122.839996,123.529999,113.371262,93500
2017-11-28,124.040001,124.330002,123.739998,124.120003,113.912750,101900
2017-11-29,123.910004,124.779999,123.500000,124.199997,113.986176,134700
2017-11-30,124.349998,125.040001,124.269997,124.860001,114.591888,205600
2017-12-01,125.010002,125.500000,123.669998,124.339996,114.114655,231100
2017-12-04,124.489998,124.860001,123.489998,123.660004,113.490570,168900
2017-12-05,123.760002,123.760002,121.750000,122.089996,112.049675,371100
2017-12-06,122.330002,122.750000,121.949997,122.580002,112.499390,191600
2017-12-07,122.540001,122.800003,122.000000,122.769997,112.673759,90500
2017-12-08,122.830002,123.190002,122.309998,123.190002,113.059235,99400
2017-12-11,123.250000,123.809998,122.739998,123.790001,113.609886,93300
2017-12-12,123.559998,123.559998,121.599998,121.599998,111.599983,146700
2017-12-13,122.000000,122.440002,121.639999,121.949997,111.921204,154100
2017-12-14,121.010002,121.290001,119.959999,120.709999,111.639114,187900
2017-12-15,120.809998,121.730003,120.809998,121.199997,112.092293,153600
2017-12-18,121.300003,121.680000,119.849998,120.040001,111.019470,189700
2017-12-19,120.099998,120.400002,117.870003,117.959999,109.095772,247800
2017-12-20,117.910004,118.300003,117.070000,117.129997,108.328140,239200
2017-12-21,116.480003,116.529999,115.500000,115.839996,107.135078,228300
2017-12-22,115.809998,116.430000,115.809998,116.010002,107.292313,131000
2017-12-26,116.099998,116.510002,115.349998,115.410004,106.737411,154100
2017-12-27,115.559998,116.150002,115.559998,115.900002,107.190575,151800
2017-12-28,116.099998,116.610001,115.879997,116.580002,107.819473,112600
2017-12-29,116.830002,117.150002,116.459999,116.589996,107.828712,164100
2018-01-02,116.639999,116.769997,115.279999,115.589996,106.903870,214900
2018-01-03,115.349998,116.010002,114.330002,114.660004,106.043747,507000
2018-01-04,114.410004,115.169998,113.620003,113.760002,105.211380,536200
2018-01-05,114.070000,114.330002,113.190002,113.739998,105.192894,305900
2018-01-08,113.800003,114.760002,113.690002,114.760002,106.136238,257400
2018-01-09,114.739998,114.760002,113.470001,113.610001,105.072647,257500
2018-01-10,113.309998,113.309998,112.080002,112.169998,103.740852,440200
2018-01-11,112.220001,112.629997,111.540001,111.870003,103.463409,227700
2018-01-12,111.580002,112.110001,110.980003,111.230003,102.871506,307800
2018-01-16,111.580002,111.949997,110.500000,110.959999,102.621796,291100
2018-01-17,111.169998,112.000000,110.849998,111.709999,103.315437,488600
2018-01-18,111.760002,111.760002,110.470001,110.989998,102.649536,311000
2018-01-19,111.239998,111.699997,110.660004,110.809998,102.483070,190700
2018-01-22,111.239998,111.930000,110.769997,110.989998,102.649536,226900
2018-01-23,111.239998,112.639999,111.040001,111.989998,103.574394,466000
2018-01-24,112.089996,112.110001,111.349998,111.510002,103.130478,329900
2018-01-25,111.599998,113.120003,111.489998,113.019997,104.526993,414500
2018-01-26,113.230003,113.519997,112.000000,113.040001,104.545486,307000
2018-01-29,112.639999,112.790001,111.540001,111.629997,103.241455,285400
2018-01-30,111.519997,112.129997,111.519997,111.790001,103.389435,279800
2018-01-31,112.059998,112.980003,111.389999,112.940002,104.453011,609100
2018-02-01,112.769997,113.199997,110.900002,111.250000,102.889992,333700
2018-02-02,110.690002,111.419998,110.279999,110.349998,102.057632,566200
2018-02-05,110.089996,111.220001,108.209999,108.279999,100.143173,403300
2018-02-06,107.360001,107.669998,104.820000,106.830002,98.802155,778700
2018-02-07,106.809998,108.000000,106.459999,106.489998,98.487694,219700
2018-02-08,106.199997,107.500000,105.160004,105.160004,97.257645,288300
2018-02-09,105.559998,108.320000,105.339996,107.540001,99.458794,342800
2018-02-12,107.629997,108.779999,106.720001,108.309998,100.170914,368800
2018-02-13,108.129997,108.980003,107.070000,108.650002,100.485382,228500
2018-02-14,107.830002,108.400002,107.180000,107.489998,99.412552,256200
2018-02-15,107.769997,109.820000,107.690002,109.820000,101.567467,185500
2018-02-16,109.860001,110.959999,109.519997,110.739998,102.418312,257300
2018-02-20,110.330002,110.570000,108.750000,109.330002,101.114296,135600
2018-02-21,109.339996,110.000000,107.879997,107.879997,99.773254,206900
2018-02-22,108.190002,109.220001,107.919998,108.389999,100.244926,103000
2018-02-23,108.690002,111.279999,108.690002,111.190002,102.834518,173300
2018-02-26,111.500000,111.769997,110.599998,110.820000,102.492325,119000
2018-02-27,110.910004,111.550003,109.019997,109.019997,100.827583,144200
2018-02-28,109.330002,109.709999,108.250000,108.300003,100.161690,128200
2018-03-01,108.430000,109.919998,107.800003,108.300003,100.161690,139500
2018-03-02,108.209999,109.099998,107.099998,107.970001,99.856483,115800
2018-03-05,107.769997,110.300003,107.589996,110.019997,101.752419,138100
2018-03-06,110.050003,110.050003,108.480003,108.690002,100.522377,248100
2018-03-07,108.339996,108.889999,107.690002,108.059998,99.939720,140700
2018-03-08,108.279999,109.000000,108.239998,108.809998,100.633354,83200
2018-03-09,108.650002,109.120003,108.250000,109.089996,100.892319,113500
2018-03-12,109.089996,109.760002,109.089996,109.650002,101.410240,100800
2018-03-13,110.019997,110.580002,109.120003,109.900002,101.641449,123000
2018-03-14,110.080002,111.260002,110.080002,110.860001,102.529305,147600
2018-03-15,110.919998,111.800003,110.250000,110.879997,102.547798,170000
2018-03-16,110.050003,111.290001,110.000000,111.080002,103.516060,159000
2018-03-19,111.040001,111.269997,109.800003,110.440002,102.919647,250200
2018-03-20,110.370003,110.849998,109.680000,109.930000,102.444366,145900
2018-03-21,110.089996,111.000000,109.349998,109.629997,102.164795,150100
2018-03-22,109.589996,111.800003,109.500000,110.040001,102.546875,217700
2018-03-23,110.199997,110.919998,108.269997,108.459999,101.074471,199100
2018-03-26,108.860001,109.750000,108.709999,109.610001,102.146164,133700
2018-03-27,109.900002,112.199997,109.459999,111.160004,103.590599,158300
2018-03-28,111.239998,111.809998,110.510002,111.260002,103.683800,168400
2018-03-29,111.589996,112.300003,111.570000,111.809998,104.196350,195500
2018-04-02,111.830002,112.410004,110.089996,110.839996,103.292397,242400
2018-04-03,110.830002,111.800003,110.500000,111.370003,103.786308,160700
2018-04-04,111.080002,111.730003,110.440002,111.550003,103.954041,163900
2018-04-05,111.480003,112.690002,110.370003,112.449997,104.792778,212000
2018-04-06,112.400002,112.769997,111.389999,111.559998,103.963371,87500
2018-04-09,111.610001,112.550003,111.330002,111.739998,104.131096,244900
2018-04-10,111.949997,111.949997,110.839996,111.110001,103.544006,256300
2018-04-11,110.959999,111.370003,110.550003,110.919998,103.366943,195700
2018-04-12,111.050003,111.250000,109.360001,109.620003,102.155472,106500
2018-04-13,109.830002,110.809998,109.830002,110.339996,102.826447,77000
2018-04-16,110.519997,111.970001,110.519997,111.889999,104.270905,217900
2018-04-17,112.199997,113.410004,111.750000,113.010002,105.314636,135600
2018-04-18,113.099998,114.070000,112.599998,112.610001,104.941879,112000
2018-04-19,112.330002,112.709999,111.690002,112.470001,104.811401,163600
2018-04-20,112.440002,112.510002,111.320000,111.589996,103.991333,70300
2018-04-23,111.660004,112.330002,111.480003,111.870003,104.252274,111200
2018-04-24,112.010002,113.279999,111.809998,112.660004,104.988464,163700
2018-04-25,112.379997,113.080002,111.860001,112.629997,104.960510,114300
2018-04-26,112.809998,114.010002,112.419998,113.889999,106.134720,94600
2018-04-27,113.739998,115.309998,113.410004,114.970001,107.141167,241700
2018-04-30,115.010002,115.430000,114.480003,114.570000,106.768410,199000
2018-05-01,114.540001,114.680000,114.129997,114.339996,106.554070,112700
2018-05-02,114.370003,114.709999,113.720001,114.190002,106.414291,84500
2018-05-03,114.019997,114.720001,112.879997,114.379997,106.591324,167500
2018-05-04,114.559998,115.360001,114.559998,114.860001,107.038673,128700
2018-05-07,114.949997,115.050003,114.230003,114.339996,106.554070,71600
2018-05-08,113.959999,113.959999,111.480003,111.660004,104.056564,113500
2018-05-09,111.800003,111.809998,110.570000,111.000000,103.441498,114200
2018-05-10,111.400002,112.459999,111.269997,112.440002,104.783470,371800
2018-05-11,112.639999,112.879997,112.220001,112.620003,104.951187,50600
2018-05-14,112.809998,112.930000,111.730003,112.190002,104.550476,138800
2018-05-15,111.639999,111.900002,110.800003,111.250000,103.674477,109800
2018-05-16,111.290001,111.400002,110.050003,110.459999,102.938278,78100
2018-05-17,110.519997,110.730003,109.430000,109.570000,102.108871,169500
2018-05-18,109.760002,110.209999,108.910004,109.629997,102.164795,100200
2018-05-21,109.739998,110.489998,109.320000,110.190002,102.686668,106200
2018-05-22,110.290001,111.190002,110.209999,110.639999,103.106018,106000
2018-05-23,110.879997,111.820000,110.790001,111.650002,104.047249,106300
2018-05-24,111.669998,112.550003,111.440002,112.489998,104.830040,84100
2018-05-25,112.610001,113.239998,112.480003,112.970001,105.277351,70000
2018-05-29,112.800003,113.800003,112.389999,113.150002,105.445099,220800
2018-05-30,113.040001,114.389999,112.800003,114.089996,106.321091,88900
2018-05-31,113.949997,114.849998,113.360001,114.209999,106.432915,277200
2018-06-01,113.940002,113.940002,112.080002,112.519997,104.857994,72900
2018-06-04,112.690002,113.099998,111.599998,111.730003,104.121788,117900
2018-06-05,111.849998,111.959999,110.690002,110.940002,103.385582,67600
2018-06-06,110.989998,110.989998,108.559998,108.690002,101.288803,263500
2018-06-07,108.839996,110.220001,108.480003,109.180000,101.745430,152900
2018-06-08,109.230003,109.580002,108.849998,109.199997,101.764069,84400
2018-06-11,109.480003,109.760002,108.500000,108.699997,101.298119,111700
2018-06-12,108.570000,110.099998,108.570000,110.070000,102.574821,330900
2018-06-13,110.019997,110.709999,109.500000,109.739998,102.267303,89600
2018-06-14,109.750000,111.239998,109.750000,111.010002,103.450829,148400
2018-06-15,111.000000,111.820000,110.169998,111.779999,104.168388,122700
2018-06-18,111.690002,112.510002,111.639999,112.279999,104.634346,131800
2018-06-19,112.260002,113.690002,111.709999,113.480003,105.752632,141000
2018-06-20,113.510002,113.790001,113.040001,113.470001,105.743317,126500
2018-06-21,113.480003,114.430000,113.320000,113.839996,106.088112,116100
2018-06-22,114.050003,114.839996,113.980003,114.620003,106.815010,271700
2018-06-25,114.629997,116.519997,114.629997,116.290001,108.371292,235700
2018-06-26,116.080002,117.070000,116.000000,116.279999,108.361954,139800
2018-06-27,116.250000,117.099998,116.010002,116.940002,108.977028,104500
2018-06-28,116.000000,116.900002,115.709999,115.889999,108.945061,107600
2018-06-29,115.650002,116.440002,115.209999,115.959999,109.010864,140700
2018-07-02,115.959999,116.849998,115.570000,116.839996,109.838120,152600
2018-07-03,116.959999,117.860001,116.459999,117.139999,110.120140,338100
2018-07-05,117.309998,117.910004,116.760002,117.870003,110.806404,177100
2018-07-06,117.989998,119.000000,117.949997,118.839996,111.718269,123700
2018-07-09,118.860001,118.860001,114.820000,115.199997,108.296410,248500
2018-07-10,114.809998,116.820000,114.190002,116.239998,109.274086,443300
2018-07-11,116.250000,117.410004,116.250000,117.180000,110.157761,103000
2018-07-12,117.330002,117.489998,116.690002,117.269997,110.242355,101600
2018-07-13,117.410004,117.550003,116.660004,117.309998,110.279961,182300
2018-07-16,117.260002,117.389999,116.559998,117.120003,110.101349,94200
2018-07-17,117.370003,117.500000,116.940002,117.040001,110.026154,66900
2018-07-18,116.919998,117.000000,116.000000,116.470001,109.490311,114500
2018-07-19,116.669998,118.160004,116.669998,117.629997,110.580780,64000
2018-07-20,117.309998,117.650002,116.059998,116.779999,109.781723,82700
2018-07-23,116.860001,116.860001,115.660004,116.019997,109.067261,67700
2018-07-24,115.870003,116.529999,114.370003,116.339996,109.368088,93600
2018-07-25,116.169998,117.129997,116.000000,116.540001,109.556107,100100
2018-07-26,116.980003,118.099998,116.980003,117.839996,110.778198,162600
2018-07-27,117.860001,118.309998,116.940002,117.339996,110.308159,72700
2018-07-30,117.190002,117.190002,116.379997,116.639999,109.650108,65000
2018-07-31,117.209999,118.010002,116.800003,117.900002,110.834610,91100
